frame_idx,elapsed_s,fps,avg_fps,num_objetos,target_id,target_label,target_color,target_status,target_matches,target_inliers,target_inlier_ratio,dx_px,dy_px,zona_central,cmd_gpio,capture_path
50,24.7681,2.1422,2.6481,3,8,G8,Verde,SIN MATCH,0,0,0.0000,112,299,FUERA,RIGHT_DOWN,
51,25.2341,2.1460,2.6382,3,8,G8,Verde,SIN MATCH,0,0,0.0000,112,222,FUERA,RIGHT_DOWN,
52,25.7061,2.1185,2.6282,3,8,G8,Verde,SIN MATCH,0,0,0.0000,108,221,FUERA,RIGHT_DOWN,
53,26.1760,2.1284,2.6188,3,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
54,26.6340,2.1833,2.6107,4,9,G9,Verde,SIN MATCH,0,0,0.0000,-478,-28,FUERA,LEFT,
55,27.1029,2.1328,2.6020,4,10,G10,Verde,SIN MATCH,0,0,0.0000,-161,58,FUERA,LEFT_DOWN,
56,27.5697,2.1420,2.5938,4,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
57,28.0338,2.1548,2.5861,4,11,G11,Verde,SIN MATCH,0,0,0.0000,-334,-35,FUERA,LEFT,
58,28.5017,2.1371,2.5784,5,12,G12,Verde,SIN MATCH,0,0,0.0000,-157,-156,FUERA,LEFT_UP,
59,28.9692,2.1389,2.5709,5,12,G12,Verde,SIN MATCH,0,0,0.0000,-155,-152,FUERA,LEFT_UP,
60,29.4394,2.1269,2.5635,6,12,G12,Verde,SIN MATCH,0,0,0.0000,-154,-153,FUERA,LEFT_UP,
61,29.9068,2.1395,2.5566,6,8,G8,Verde,SIN MATCH,0,0,0.0000,141,242,FUERA,RIGHT_DOWN,
62,30.4518,1.8351,2.5449,6,8,G8,Verde,SIN MATCH,0,0,0.0000,115,230,FUERA,RIGHT_DOWN,
63,30.9000,2.2307,2.5400,6,8,G8,Verde,SIN MATCH,0,0,0.0000,73,219,FUERA,RIGHT_DOWN,
64,31.3240,2.3587,2.5371,6,8,G8,Verde,SIN MATCH,0,0,0.0000,32,203,FUERA,DOWN,
65,31.7789,2.1983,2.5319,5,8,G8,Verde,SIN MATCH,0,0,0.0000,15,207,FUERA,DOWN,
66,32.2386,2.1752,2.5265,4,8,G8,Verde,SIN MATCH,0,0,0.0000,8,205,FUERA,DOWN,
67,32.7052,2.1433,2.5208,4,8,G8,Verde,SIN MATCH,0,0,0.0000,6,205,FUERA,DOWN,
68,33.1709,2.1471,2.5153,3,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
69,33.6406,2.1291,2.5097,4,14,G14,Verde,SIN MATCH,0,0,0.0000,24,-282,FUERA,UP,
70,34.1021,2.1669,2.5048,4,14,G14,Verde,SIN MATCH,0,0,0.0000,32,-298,FUERA,UP,
71,34.5699,2.1375,2.4996,2,14,G14,Verde,SIN MATCH,0,0,0.0000,25,-286,FUERA,UP,
72,35.0562,2.0564,2.4935,3,15,G15,Verde,SIN MATCH,0,0,0.0000,-3,-211,FUERA,UP,
73,35.5046,2.2303,2.4899,6,17,G17,Verde,SIN MATCH,0,0,0.0000,-160,-161,FUERA,LEFT_UP,
74,35.9916,2.0533,2.4840,6,17,G17,Verde,SIN MATCH,0,0,0.0000,-162,-152,FUERA,LEFT_UP,
75,36.4416,2.2224,2.4805,6,17,G17,Verde,SIN MATCH,0,0,0.0000,-167,-145,FUERA,LEFT_UP,
76,36.9038,2.1633,2.4763,6,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
77,37.3890,2.0613,2.4709,7,19,G19,Verde,SIN MATCH,0,0,0.0000,246,-13,FUERA,RIGHT,
78,37.8612,2.1177,2.4664,7,20,G20,Verde,SIN MATCH,0,0,0.0000,325,3,FUERA,RIGHT,
79,38.3065,2.2456,2.4636,7,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
80,38.7728,2.1446,2.4596,8,21,G21,Verde,SIN MATCH,0,0,0.0000,138,-4,FUERA,RIGHT,
81,39.2422,2.1302,2.4555,8,21,G21,Verde,SIN MATCH,0,0,0.0000,133,-1,FUERA,RIGHT,
82,39.7057,2.1578,2.4519,7,21,G21,Verde,SIN MATCH,0,0,0.0000,135,5,FUERA,RIGHT,
83,40.1860,2.0820,2.4474,6,21,G21,Verde,SIN MATCH,0,0,0.0000,124,5,FUERA,RIGHT,
84,40.6469,2.1697,2.4441,5,21,G21,Verde,SIN MATCH,0,0,0.0000,98,1,FUERA,RIGHT,
85,41.1497,1.9890,2.4388,5,21,G21,Verde,SIN MATCH,0,0,0.0000,60,0,FUERA,RIGHT,
86,41.6084,2.1800,2.4358,3,21,G21,Verde,SIN MATCH,0,0,0.0000,45,-3,DENTRO,CENTER,captures/cap_000086_041.61s_G21_Verde.png
87,42.0408,2.3125,2.4344,3,21,G21,Verde,SIN MATCH,0,0,0.0000,45,-4,DENTRO,CENTER,
88,42.5080,2.1402,2.4310,2,21,G21,Verde,SIN MATCH,0,0,0.0000,40,-3,DENTRO,CENTER,
89,42.9764,2.1352,2.4277,1,21,G21,Verde,SIN MATCH,0,0,0.0000,45,-4,DENTRO,CENTER,
90,43.4468,2.1255,2.4243,1,21,G21,Verde,SIN MATCH,0,0,0.0000,57,-4,FUERA,RIGHT,
91,43.9129,2.1459,2.4213,1,21,G21,Verde,SIN MATCH,0,0,0.0000,44,-6,DENTRO,CENTER,captures/cap_000091_043.91s_G21_Verde.png
92,44.3956,2.0714,2.4175,1,21,G21,Verde,SIN MATCH,0,0,0.0000,-11,-8,DENTRO,CENTER,
93,44.8604,2.1519,2.4146,1,21,G21,Verde,SIN MATCH,0,0,0.0000,-15,-9,DENTRO,CENTER,
94,45.3171,2.1893,2.4122,1,21,G21,Verde,SIN MATCH,0,0,0.0000,-27,-14,DENTRO,CENTER,
95,45.7765,2.1768,2.4097,1,21,G21,Verde,SIN MATCH,0,0,0.0000,-24,-12,DENTRO,CENTER,
96,46.2498,2.1127,2.4066,1,21,G21,Verde,SIN MATCH,0,0,0.0000,-11,-14,DENTRO,CENTER,
97,46.7186,2.1331,2.4038,1,21,G21,Verde,SIN MATCH,0,0,0.0000,-9,-13,DENTRO,CENTER,
98,47.1792,2.1711,2.4015,1,,,,SIN OBJETIVO,0,0,0.0000,0,0,N/A,NO_TARGET,
